path	status	mode_diff	edgeric_mode	sionna_mode
nfapi/open-nFAPI/CMakeLists.txt	content-different	True	100755	100644
nfapi/open-nFAPI/common/public_inc/nfapi.h	content-different	True	100755	100644
nfapi/open-nFAPI/common/src/debug.c	content-different	True	100755	100644
nfapi/open-nFAPI/common/src/nfapi.c	content-different	True	100755	100644
nfapi/open-nFAPI/docs/Doxyfile.in	content-different	True	100755	100644
nfapi/open-nFAPI/fapi/CMakeLists.txt	content-different	True	100755	100644
nfapi/open-nFAPI/fapi/inc/nr_fapi.h	content-different	True	100755	100644
nfapi/open-nFAPI/fapi/inc/nr_fapi_p5.h	content-different	True	100755	100644
nfapi/open-nFAPI/fapi/inc/nr_fapi_p5_utils.h	content-different	True	100755	100644
nfapi/open-nFAPI/fapi/inc/nr_fapi_p7.h	Sionna-only	False		100644
nfapi/open-nFAPI/fapi/inc/nr_fapi_p7_utils.h	Sionna-only	False		100644
nfapi/open-nFAPI/fapi/src/nr_fapi.c	Sionna-only	False		100644
nfapi/open-nFAPI/fapi/src/nr_fapi_p5.c	content-different	True	100755	100644
nfapi/open-nFAPI/fapi/src/nr_fapi_p5_utils.c	content-different	True	100755	100644
nfapi/open-nFAPI/fapi/src/nr_fapi_p7.c	Sionna-only	False		100644
nfapi/open-nFAPI/fapi/src/nr_fapi_p7_utils.c	Sionna-only	False		100644
nfapi/open-nFAPI/nfapi/public_inc/fapi_nr_ue_constants.h	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/public_inc/fapi_nr_ue_interface.h	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/public_inc/nfapi_common_interface.h	Sionna-only	False		100644
nfapi/open-nFAPI/nfapi/public_inc/nfapi_interface.h	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/public_inc/nfapi_nr_interface.h	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/public_inc/nfapi_nr_interface_scf.h	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/public_inc/nr_nfapi_p7.h	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/src/nfapi_p4.c	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/src/nfapi_p5.c	content-different	True	100755	100644
nfapi/open-nFAPI/nfapi/src/nfapi_p7.c	content-different	True	100755	100644
nfapi/open-nFAPI/pnf/inc/pnf.h	content-different	True	100755	100644
nfapi/open-nFAPI/pnf/inc/pnf_p7.h	content-different	True	100755	100644
nfapi/open-nFAPI/pnf/public_inc/nfapi_pnf_interface.h	content-different	True	100755	100644
nfapi/open-nFAPI/pnf/src/pnf.c	content-different	True	100755	100644
nfapi/open-nFAPI/pnf/src/pnf_interface.c	content-different	True	100755	100644
nfapi/open-nFAPI/pnf/src/pnf_p7.c	content-different	True	100755	100644
nfapi/open-nFAPI/pnf/src/pnf_p7_interface.c	content-different	True	100755	100644
nfapi/open-nFAPI/pnf_sim/src/main.cpp	content-different	True	100755	100644
nfapi/open-nFAPI/utils/CMakeLists.txt	Sionna-only	False		100644
nfapi/open-nFAPI/utils/examples.md	Sionna-only	False		100644
nfapi/open-nFAPI/utils/nfapi_hex_parser.c	Sionna-only	False		100644
nfapi/open-nFAPI/vnf/inc/vnf.h	content-different	True	100755	100644
nfapi/open-nFAPI/vnf/inc/vnf_p7.h	content-different	True	100755	100644
nfapi/open-nFAPI/vnf/public_inc/nfapi_vnf_interface.h	content-different	True	100755	100644
nfapi/open-nFAPI/vnf/src/vnf.c	content-different	True	100755	100644
nfapi/open-nFAPI/vnf/src/vnf_interface.c	content-different	True	100755	100644
nfapi/open-nFAPI/vnf/src/vnf_p7.c	content-different	True	100755	100644
nfapi/open-nFAPI/vnf/src/vnf_p7_interface.c	content-different	True	100755	100644
nfapi/open-nFAPI/vnf/tests/vnf_cunit_main.c	content-different	True	100755	100644
nfapi/open-nfapi.oai.patch	EdgeRIC-only	False	100755	
nfapi/tests/nr_fapi_test.h	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_config_request_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_config_response_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_error_indication_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_param_request_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_param_response_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_start_request_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_start_response_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_stop_indication_test.c	content-different	True	100755	100644
nfapi/tests/p5/nr_fapi_stop_request_test.c	content-different	True	100755	100644
nfapi/tests/p7/CMakeLists.txt	content-different	True	100755	100644
nfapi/tests/p7/dci_payload_utils.h	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_crc_indication_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_dci_inversion_test.c	content-different	True	100755	100644
nfapi/tests/p7/nr_fapi_dl_tti_request_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_rach_indication_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_rx_data_indication_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_slot_indication_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_srs_indication_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_tx_data_request_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_uci_indication_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_ul_dci_request_test.c	Sionna-only	False		100644
nfapi/tests/p7/nr_fapi_ul_tti_request_test.c	Sionna-only	False		100644
openair1/PHY/CMakeLists.txt	content-different	True	100755	100644
openair1/PHY/CODING/3gpplte_sse.c	content-different	True	100755	100644
openair1/PHY/CODING/3gpplte_turbo_decoder_avx2_16bit.c	content-different	True	100755	100644
openair1/PHY/CODING/3gpplte_turbo_decoder_sse.c	content-different	True	100755	100644
openair1/PHY/CODING/3gpplte_turbo_decoder_sse_16bit.c	content-different	True	100755	100644
openair1/PHY/CODING/3gpplte_turbo_decoder_sse_8bit.c	content-different	True	100755	100644
openair1/PHY/CODING/CMakeLists.txt	Sionna-only	False		100644
openair1/PHY/CODING/DOC/LDPCImplementation.md	content-different	True	100755	100644
openair1/PHY/CODING/TESTBENCH/ldpctest.c	content-different	True	100755	100644
openair1/PHY/CODING/TESTBENCH/pdcch_test.c	content-different	True	100755	100644
openair1/PHY/CODING/TESTBENCH/polartest.c	content-different	True	100755	100644
openair1/PHY/CODING/TESTBENCH/smallblocktest.c	content-different	True	100755	100644
openair1/PHY/CODING/ccoding_byte_lte.c	content-different	True	100755	100644
openair1/PHY/CODING/coding_defs.h	content-different	True	100755	100644
openair1/PHY/CODING/nrLDPC_coding/CMakeLists.txt	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_aal/CMakeLists.txt	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_aal/README.md	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_aal/nrLDPC_coding_aal.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_aal/nrLDPC_coding_aal.h	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_interface.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_interface.h	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_interface_load.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_segment/CMakeLists.txt	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_segment/nrLDPC_coding_segment_decoder.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_segment/nrLDPC_coding_segment_encoder.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_segment/nr_rate_matching.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_segment/nr_rate_matching.h	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_xdma/CMakeLists.txt	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_xdma/nrLDPC_coding_xdma.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_xdma/nrLDPC_coding_xdma_offload.c	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_xdma/nrLDPC_coding_xdma_offload.h	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_coding/nrLDPC_coding_xdma/xdma_diag.h	Sionna-only	False		100644
openair1/PHY/CODING/nrLDPC_decoder/nrLDPC_decoder.c	content-different	True	100755	100644
