[2023-02-06 14:55:29,682][__main__][INFO] - ********* Running Evaluation *********
[2023-02-06 14:55:29,682][__main__][INFO] - 

 PPO
[2023-02-06 14:55:29,684][__main__][INFO] - Episode 0
[2023-02-06 14:55:29,740][__main__][INFO] - state: [ 385188.       2. 3000000.  385805.       1. 3000000.] action: tensor([-1.33,  1.69]) next_state: [ 385026.       2. 3000000.  385665.       2. 3000000.] reward: 1.36
[2023-02-06 14:55:29,742][__main__][INFO] - state: [ 385026.       2. 3000000.  385665.       2. 3000000.] action: tensor([-1.33,  0.86]) next_state: [ 384945.       2. 3000000.  385584.       2. 3000000.] reward: 0.0
[2023-02-06 14:55:29,744][__main__][INFO] - state: [ 384945.       2. 3000000.  385584.       2. 3000000.] action: tensor([-1.57,  2.04]) next_state: [ 384864.       3. 3000000.  385503.       2. 3000000.] reward: 1.36
[2023-02-06 14:55:29,746][__main__][INFO] - state: [ 384864.       3. 3000000.  385503.       2. 3000000.] action: tensor([-2.55,  1.31]) next_state: [ 384646.       2. 3000000.  385333.       3. 3000000.] reward: 1.52
[2023-02-06 14:55:29,748][__main__][INFO] - state: [ 384646.       2. 3000000.  385333.       3. 3000000.] action: tensor([0.04, 2.04]) next_state: [ 384646.       3. 3000000.  385216.       2. 3000000.] reward: 0.968
[2023-02-06 14:55:29,750][__main__][INFO] - state: [ 384646.       3. 3000000.  385216.       2. 3000000.] action: tensor([-0.96,  1.94]) next_state: [ 384444.       3. 3000000.  385054.       3. 3000000.] reward: 1.52
[2023-02-06 14:55:29,752][__main__][INFO] - state: [ 384444.       3. 3000000.  385054.       3. 3000000.] action: tensor([-1.81,  0.59]) next_state: [ 385744.       3. 3000000.  384852.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,754][__main__][INFO] - state: [ 385744.       3. 3000000.  384852.       3. 3000000.] action: tensor([-1.84,  3.07]) next_state: [ 385542.       3. 3000000.  384650.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,756][__main__][INFO] - state: [ 385542.       3. 3000000.  384650.       3. 3000000.] action: tensor([-0.93,  1.77]) next_state: [ 385425.       3. 3000000.  384533.       3. 3000000.] reward: 1.936
[2023-02-06 14:55:29,758][__main__][INFO] - state: [ 385425.       3. 3000000.  384533.       3. 3000000.] action: tensor([-0.83,  0.36]) next_state: [ 385324.       3. 3000000.  384432.       3. 3000000.] reward: 0.0
[2023-02-06 14:55:29,760][__main__][INFO] - state: [ 385324.       3. 3000000.  384432.       3. 3000000.] action: tensor([-1.66,  2.26]) next_state: [ 385223.       3. 3000000.  385716.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,762][__main__][INFO] - state: [ 385223.       3. 3000000.  385716.       3. 3000000.] action: tensor([-0.80,  2.17]) next_state: [ 385122.       3. 3000000.  385615.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,764][__main__][INFO] - state: [ 385122.       3. 3000000.  385615.       3. 3000000.] action: tensor([-1.47,  1.99]) next_state: [ 384920.       3. 3000000.  385413.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,766][__main__][INFO] - state: [ 384920.       3. 3000000.  385413.       3. 3000000.] action: tensor([-1.57,  1.02]) next_state: [ 384819.       3. 3000000.  385312.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,768][__main__][INFO] - state: [ 384819.       3. 3000000.  385312.       3. 3000000.] action: tensor([-0.55,  1.44]) next_state: [ 384601.       3. 3000000.  385094.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,770][__main__][INFO] - state: [ 384601.       3. 3000000.  385094.       3. 3000000.] action: tensor([-1.65,  1.80]) next_state: [ 384500.       3. 3000000.  384993.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,772][__main__][INFO] - state: [ 384500.       3. 3000000.  384993.       3. 3000000.] action: tensor([0.46, 2.28]) next_state: [ 384399.       3. 3000000.  384775.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,774][__main__][INFO] - state: [ 384399.       3. 3000000.  384775.       3. 3000000.] action: tensor([-1.38,  2.21]) next_state: [ 385699.       3. 3000000.  384573.       3. 3000000.] reward: 1.68
[2023-02-06 14:55:29,776][__main__][INFO] - state: [ 385699.       3. 3000000.  384573.       3. 3000000.] action: tensor([-0.76,  1.36]) next_state: [ 384419.       3. 3000000.  385301.       3. 3000000.] reward: 14.304
[2023-02-06 14:55:29,778][__main__][INFO] - state: [ 384419.       3. 3000000.  385301.       3. 3000000.] action: tensor([-0.65,  1.02]) next_state: [ 383874.       3. 3000000.  384756.       3. 3000000.] reward: 16.416
[2023-02-06 14:55:29,780][__main__][INFO] - state: [ 383874.       3. 3000000.  384756.       3. 3000000.] action: tensor([-2.32,  1.34]) next_state: [ 383329.       3. 3000000.  384756.       3. 3000000.] reward: 16.416
